awardYear,category,motivation,name,gender,birth date,birth_continent,birth_countryNow,death_date
1903,Peace,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,Randal Cremer,male,18.3.1828,Europe,United Kingdom,22.7.1908
1903,Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,Svante Arrhenius,male,19.2.1859,Europe,Sweden,2.10.1927
1904,Literature,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",Frédéric Mistral,male,8.9.1830,Europe,France,25.3.1914
1904,Peace,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,Institute of International Law,,,,,
1904,Physiology or Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",Ivan Pavlov,male,14.9.1849,Europe,Russia,27.2.1936
1904,Literature,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",José Echegaray,male,19.4.1832,Europe,Spain,4.9.1916
1904,Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,Lord Rayleigh,male,12.11.1842,Europe,United Kingdom,30.6.1919
1904,Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",Sir William Ramsay,male,2.10.1852,Europe,Scotland,23.7.1916
1905,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",Adolf von Baeyer,male,31.10.1835,Europe,Germany,20.8.1917
1905,Peace,for her audacity to oppose the horrors of war,Bertha von Suttner,female,9.6.1843,Europe,Czech Republic,21.6.1914
1905,Literature,because of his outstanding merits as an epic writer,Henryk Sienkiewicz,male,5.5.1846,Europe,Poland,15.11.1916
1905,Physics,for his work on cathode rays,Philipp Lenard,male,7.6.1862,Europe,Slovakia,20.5.1947
1905,Physiology or Medicine,for his investigations and discoveries in relation to tuberculosis,Robert Koch,male,11.12.1843,Europe,Germany,27.5.1910
1906,Physiology or Medicine,in recognition of their work on the structure of the nervous system,Camillo Golgi,male,7.7.1843,Europe,Italy,21.1.1926
1906,Literature,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",Giosuè Carducci,male,27.7.1835,Europe,Italy,16.2.1907
1906,Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",Henri Moissan,male,28.9.1852,Europe,France,20.2.1907
1906,Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,J.J. Thomson,male,18.12.1856,Europe,United Kingdom,30.8.1940
1906,Physiology or Medicine,in recognition of their work on the structure of the nervous system,Santiago Ramón y Cajal,male,1.5.1852,Europe,Spain,17.10.1934
1906,Peace,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",Theodore Roosevelt,male,27.10.1858,North America,USA,6.1.1919
1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,Albert A. Michelson,male,19.12.1852,Europe,Poland,9.5.1931
1907,Physiology or Medicine,in recognition of his work on the role played by protozoa in causing diseases,Alphonse Laveran,male,18.6.1845,Europe,France,18.5.1922
1907,Chemistry,for his biochemical researches and his discovery of cell-free fermentation,Eduard Buchner,male,20.5.1860,Europe,Germany,13.8.1917
1907,Peace,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",Ernesto Teodoro Moneta,male,20.9.1833,Europe,Italy,10.2.1918
1907,Peace,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,Louis Renault,male,21.5.1843,Europe,France,8.2.1918
1907,Literature,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",Rudyard Kipling,male,30.12.1865,Asia,India,18.1.1936
1908,Chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",Ernest Rutherford,male,30.8.1871,Oceania,New Zealand,19.10.1937
1908,Peace,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",Fredrik Bajer,male,21.4.1837,Europe,Denmark,22.1.1922
1908,Physics,for his method of reproducing colours photographically based on the phenomenon of interference,Gabriel Lippmann,male,16.8.1845,Europe,Luxembourg,13.7.1921
1908,Physiology or Medicine,in recognition of their work on immunity,Ilya Mechnikov,male,15.5.1845,Europe,Ukraine,15.7.1916
1908,Peace,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",Klas Pontus Arnoldson,male,27.10.1844,Europe,Sweden,20.2.1916
1908,Physiology or Medicine,in recognition of their work on immunity,Paul Ehrlich,male,14.3.1854,Europe,Poland,20.8.1915
1908,Literature,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",Rudolf Eucken,male,5.1.1846,Europe,Germany,14.9.1926
1909,Peace,for their prominent position in the international movement for peace and arbitration,Auguste Beernaert,male,26.7.1829,Europe,Belgium,6.10.1912
1909,Physics,in recognition of their contributions to the development of wireless telegraphy,Ferdinand Braun,male,6.6.1850,Europe,Germany,20.4.1918
1909,Physics,in recognition of their contributions to the development of wireless telegraphy,Guglielmo Marconi,male,25.4.1874,Europe,Italy,20.7.1937
1909,Peace,for their prominent position in the international movement for peace and arbitration,Paul Henri d'Estournelles de Constant,male,22.11.1852,Europe,France,15.5.1924
1909,Literature,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",Selma Lagerlöf,female,20.11.1858,Europe,Sweden,16.3.1940
1909,Physiology or Medicine,"for his work on the physiology, pathology and surgery of the thyroid gland",Theodor Kocher,male,25.8.1841,Europe,Switzerland,27.7.1917
1909,Chemistry,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,Wilhelm Ostwald,male,2.9.1853,Europe,Latvia,4.4.1932
1910,Physiology or Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",Albrecht Kossel,male,16.9.1853,Europe,Germany,5.7.1927
1910,Physics,for his work on the equation of state for gases and liquids,Johannes Diderik van der Waals,male,23.11.1837,Europe,the Netherlands,8.3.1923
1910,Chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,Otto Wallach,male,27.3.1847,Europe,Russia,26.2.1931
1910,Literature,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",Paul Heyse,male,15.3.1830,Europe,Germany,2.4.1914
1910,Peace,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",Permanent International Peace Bureau,,,,,
1911,Peace,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",Alfred Fried,male,11.11.1864,Europe,Austria,5.5.1921
1911,Physiology or Medicine,for his work on the dioptrics of the eye,Allvar Gullstrand,male,5.6.1862,Europe,Sweden,28.7.1930
1911,Literature,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",Maurice Maeterlinck,male,29.8.1862,Europe,Belgium,6.5.1949
1911,Peace,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",Tobias Asser,male,28.4.1838,Europe,the Netherlands,29.7.1913
1911,Physics,for his discoveries regarding the laws governing the radiation of heat,Wilhelm Wien,male,13.1.1864,Europe,Russia,30.8.1928
1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",Marie Curie,female,7.11.1867,Europe,Poland,4.7.1934
1912,Physiology or Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,Alexis Carrel,male,28.6.1873,Europe,France,5.11.1944
1912,Peace,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,Elihu Root,male,15.2.1845,North America,USA,7.2.1937
1912,Literature,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",Gerhart Hauptmann,male,15.11.1862,Europe,Poland,6.6.1946
1912,Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,Gustaf Dalén,male,30.11.1869,Europe,Sweden,9.12.1937
1912,Chemistry,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,Paul Sabatier,male,5.11.1854,Europe,France,14.8.1941
1912,Chemistry,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",Victor Grignard,male,6.5.1871,Europe,France,13.12.1935
1913,Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,Alfred Werner,male,12.12.1866,Europe,France,15.11.1919
1913,Physiology or Medicine,in recognition of his work on anaphylaxis,Charles Richet,male,26.8.1850,Europe,France,4.12.1935
1913,Physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",Heike Kamerlingh Onnes,male,21.9.1853,Europe,the Netherlands,21.2.1926
1913,Peace,for his unparalleled contribution to the organization of peaceful internationalism,Henri La Fontaine,male,22.4.1854,Europe,Belgium,14.5.1943
1913,Literature,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",Rabindranath Tagore,male,7.5.1861,Asia,India,7.8.1941
1914,Physics,for his discovery of the diffraction of X-rays by crystals,Max von Laue,male,9.10.1879,Europe,Germany,23.4.1960
1914,Physiology or Medicine,for his work on the physiology and pathology of the vestibular apparatus,Robert Bárány,male,22.4.1876,Europe,Austria,8.4.1936
1914,Chemistry,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,Theodore W. Richards,male,31.1.1868,North America,USA,2.4.1928
1915,Physics,for their services in the analysis of crystal structure by means of X-rays,Lawrence Bragg,male,31.3.1890,Oceania,Australia,1.7.1971
1915,Chemistry,"for his researches on plant pigments, especially chlorophyll",Richard Willstätter,male,13.8.1872,Europe,Germany,3.8.1942
1915,Literature,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,Romain Rolland,male,29.1.1866,Europe,France,30.12.1944
1915,Physics,for their services in the analysis of crystal structure by means of X-rays,William Bragg,male,2.7.1862,Europe,United Kingdom,12.3.1942
1916,Literature,in recognition of his significance as the leading representative of a new era in our literature,Verner von Heidenstam,male,6.7.1859,Europe,Sweden,20.5.1940
1917,Physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,Charles Glover Barkla,male,7.6.1877,Europe,United Kingdom,23.10.1944
1917,Literature,for his authentic descriptions of present-day life in Denmark,Henrik Pontoppidan,male,24.7.1857,Europe,Denmark,21.8.1943
1917,Peace,for the efforts to take care of wounded soldiers and prisoners of war and their families,International Committee of the Red Cross,,,,,
1917,Literature,"for his varied and rich poetry, which is inspired by lofty ideals",Karl Gjellerup,male,2.6.1857,Europe,Denmark,11.10.1919
1918,Chemistry,for the synthesis of ammonia from its elements,Fritz Haber,male,9.12.1868,Europe,Poland,29.1.1934
1918,Physics,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,Max Planck,male,23.4.1858,Europe,Germany,4.10.1947
1919,Literature,"in special appreciation of his epic, <I>Olympian Spring</I>",Carl Spitteler,male,24.4.1845,Europe,Switzerland,29.12.1924
1919,Physics,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,Johannes Stark,male,15.4.1874,Europe,Germany,21.6.1957
1919,Physiology or Medicine,for his discoveries relating to immunity,Jules Bordet,male,13.6.1870,Europe,Belgium,6.4.1961
1919,Peace,for his role as founder of the League of Nations,Woodrow Wilson,male,28.12.1856,North America,USA,3.2.1924
1920,Physiology or Medicine,for his discovery of the capillary motor regulating mechanism,August Krogh,male,15.11.1874,Europe,Denmark,13.9.1949
1920,Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,Charles Edouard Guillaume,male,15.2.1861,Europe,Switzerland,13.6.1938
1920,Literature,"for his monumental work, <I>Growth of the Soil</I>",Knut Hamsun,male,4.8.1859,Europe,Norway,19.2.1952
1920,Peace,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,Léon Bourgeois,male,21.5.1851,Europe,France,29.9.1925
1920,Chemistry,in recognition of his work in thermochemistry,Walther Nernst,male,25.6.1864,Europe,Germany,18.11.1941
1921,Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Albert Einstein,male,14.3.1879,Europe,Germany,18.4.1955
1921,Literature,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",Anatole France,male,16.4.1844,Europe,France,12.10.1924
1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism,Christian Lange,male,17.9.1869,Europe,Norway,11.12.1938
1921,Chemistry,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",Frederick Soddy,male,2.9.1877,Europe,United Kingdom,22.9.1956
1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism,Hjalmar Branting,male,23.11.1860,Europe,Sweden,24.2.1925
1922,Physiology or Medicine,for his discovery relating to the production of heat in the muscle,Archibald V. Hill,male,26.9.1886,Europe,United Kingdom,3.6.1977
1922,Chemistry,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",Francis W. Aston,male,1.9.1877,Europe,United Kingdom,20.11.1945
1922,Peace,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",Fridtjof Nansen,male,10.10.1861,Europe,Norway,13.5.1930
1922,Literature,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,Jacinto Benavente,male,12.8.1866,Europe,Spain,14.7.1954
1922,Physics,for his services in the investigation of the structure of atoms and of the radiation emanating from them,Niels Bohr,male,7.10.1885,Europe,Denmark,18.11.1962
1922,Physiology or Medicine,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,Otto Meyerhof,male,12.4.1884,Europe,Germany,6.10.1951
1923,Physiology or Medicine,for the discovery of insulin,Frederick G. Banting,male,14.11.1891,North America,Canada,21.2.1941
1923,Chemistry,for his invention of the method of micro-analysis of organic substances,Fritz Pregl,male,3.9.1869,Europe,Slovenia,13.12.1930
1923,Physiology or Medicine,for the discovery of insulin,John Macleod,male,6.9.1876,Europe,Scotland,16.3.1935
1923,Physics,for his work on the elementary charge of electricity and on the photoelectric effect,Robert A. Millikan,male,22.3.1868,North America,USA,19.12.1953
1923,Literature,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",William Butler Yeats,male,13.6.1865,Europe,Ireland,28.1.1939
1924,Physics,for his discoveries and research in the field of X-ray spectroscopy,Manne Siegbahn,male,3.12.1886,Europe,Sweden,26.9.1978
1924,Physiology or Medicine,for his discovery of the mechanism of the electrocardiogram,Willem Einthoven,male,21.5.1860,Asia,Indonesia,29.9.1927
1924,Literature,"for his great national epic, <I>The Peasants</I>",Wladyslaw Reymont,male,7.5.1867,Europe,Poland,5.12.1925
1925,Peace,for his crucial role in bringing about the Dawes Plan,Charles G. Dawes,male,27.8.1865,North America,USA,23.4.1951
1925,Literature,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",George Bernard Shaw,male,26.7.1856,Europe,Ireland,2.11.1950
1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom,Gustav Hertz,male,22.7.1887,Europe,Germany,30.10.1975
1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom,James Franck,male,26.8.1882,Europe,Germany,21.5.1964
1925,Chemistry,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry",Richard Zsigmondy,male,1.4.1865,Europe,Austria,24.9.1929
1925,Peace,for his crucial role in bringing about the Locarno Treaty,Sir Austen Chamberlain,male,16.10.1863,Europe,United Kingdom,16.3.1937
1926,Peace,for their crucial role in bringing about the Locarno Treaty,Aristide Briand,male,28.3.1862,Europe,France,7.3.1932
1926,Literature,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,Grazia Deledda,female,27.9.1871,Europe,Italy,15.8.1936
1926,Peace,for their crucial role in bringing about the Locarno Treaty,Gustav Stresemann,male,10.5.1878,Europe,Germany,3.10.1929
1926,Physics,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium",Jean Baptiste Perrin,male,30.9.1870,Europe,France,17.4.1942
1926,Physiology or Medicine,for his discovery of the Spiroptera carcinoma,Johannes Fibiger,male,23.4.1867,Europe,Denmark,30.1.1928
1926,Chemistry,for his work on disperse systems,The Svedberg,male,30.8.1884,Europe,Sweden,25.2.1971
1927,Physics,for his discovery of the effect named after him,Arthur H. Compton,male,10.9.1892,North America,USA,15.3.1962
1927,Physics,for his method of making the paths of electrically charged particles visible by condensation of vapour,C.T.R. Wilson,male,14.2.1869,Europe,Scotland,15.11.1959
1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,Ferdinand Buisson,male,20.12.1841,Europe,France,16.2.1932
1927,Chemistry,for his investigations of the constitution of the bile acids and related substances,Heinrich Wieland,male,4.6.1877,Europe,Germany,5.8.1957
1927,Literature,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,Henri Bergson,male,18.10.1859,Europe,France,4.1.1941
1927,Physiology or Medicine,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica,Julius Wagner-Jauregg,male,7.3.1857,Europe,Austria,27.9.1940
1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,Ludwig Quidde,male,23.3.1858,Europe,Germany,4.3.1941
1928,Chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,Adolf Windaus,male,25.12.1876,Europe,Germany,9.6.1959
1928,Physiology or Medicine,for his work on typhus,Charles Nicolle,male,21.9.1866,Europe,France,28.2.1936
1928,Physics,for his work on the thermionic phenomenon and especially for the discovery of the law named after him,Owen Willans Richardson,male,26.4.1879,Europe,United Kingdom,15.2.1959
1928,Literature,principally for her powerful descriptions of Northern life during the Middle Ages,Sigrid Undset,female,20.5.1882,Europe,Denmark,10.6.1949
1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes,Arthur Harden,male,12.10.1865,Europe,United Kingdom,17.6.1940
1929,Physiology or Medicine,for his discovery of the antineuritic vitamin,Christiaan Eijkman,male,11.8.1858,Europe,the Netherlands,5.11.1930
1929,Peace,for his crucial role in bringing about the Briand-Kellogg Pact,Frank B. Kellogg,male,22.12.1856,North America,USA,21.12.1937
1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes,Hans von Euler-Chelpin,male,15.2.1873,Europe,Germany,6.11.1964
1929,Physics,for his discovery of the wave nature of electrons,Louis de Broglie,male,15.8.1892,Europe,France,19.3.1987
1929,Physiology or Medicine,for his discovery of the growth-stimulating vitamins,Sir Frederick Hopkins,male,20.6.1861,Europe,United Kingdom,16.5.1947
1929,Literature,"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",Thomas Mann,male,6.6.1875,Europe,Germany,12.8.1955
1930,Chemistry,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin,Hans Fischer,male,27.7.1881,Europe,Germany,31.3.1945
1930,Physiology or Medicine,for his discovery of human blood groups,Karl Landsteiner,male,14.6.1868,Europe,Austria,26.6.1943
1930,Peace,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality',Nathan Söderblom,male,15.1.1866,Europe,Sweden,12.7.1931
1930,Literature,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters",Sinclair Lewis,male,7.2.1885,North America,USA,10.1.1951
1930,Physics,for his work on the scattering of light and for the discovery of the effect named after him,Sir Chandrasekhara Venkata Raman,male,7.11.1888,Asia,India,21.11.1970
1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods,Carl Bosch,male,27.8.1874,Europe,Germany,26.4.1940
1931,Literature,The poetry of Erik Axel Karlfeldt,Erik Axel Karlfeldt,male,20.7.1864,Europe,Sweden,8.4.1931
1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods,Friedrich Bergius,male,11.10.1884,Europe,Poland,30.3.1949
1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,Jane Addams,female,6.9.1860,North America,USA,21.5.1935
1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,Nicholas Murray Butler,male,2.4.1862,North America,USA,7.12.1947
1931,Physiology or Medicine,for his discovery of the nature and mode of action of the respiratory enzyme,Otto Warburg,male,8.10.1883,Europe,Germany,1.8.1970
1932,Physiology or Medicine,for their discoveries regarding the functions of neurons,Edgar Adrian,male,30.11.1889,Europe,United Kingdom,8.8.1977
1932,Chemistry,for his discoveries and investigations in surface chemistry,Irving Langmuir,male,31.1.1881,North America,USA,16.8.1957
1932,Literature,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,John Galsworthy,male,14.8.1867,Europe,United Kingdom,31.1.1933
1932,Physiology or Medicine,for their discoveries regarding the functions of neurons,Sir Charles Sherrington,male,27.11.1857,Europe,United Kingdom,4.3.1952
1932,Physics,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen",Werner Heisenberg,male,5.12.1901,Europe,Germany,1.2.1976
1933,Physics,for the discovery of new productive forms of atomic theory,Erwin Schrödinger,male,12.8.1887,Europe,Austria,4.1.1961
1933,Literature,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,Ivan Bunin,male,22.10.1870,Europe,Russia,8.11.1953
1933,Physics,for the discovery of new productive forms of atomic theory,Paul A.M. Dirac,male,8.8.1902,Europe,United Kingdom,20.10.1984
1933,Peace,for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace,Sir Norman Angell,male,26.12.1872,Europe,United Kingdom,7.10.1967
1933,Physiology or Medicine,for his discoveries concerning the role played by the chromosome in heredity,Thomas H. Morgan,male,25.9.1866,North America,USA,4.12.1945
1934,Peace,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,Arthur Henderson,male,13.9.1863,Europe,Scotland,20.10.1935
1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia,George H. Whipple,male,28.8.1878,North America,USA,1.2.1976
1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia,George R. Minot,male,2.12.1885,North America,USA,25.2.1950
1934,Chemistry,for his discovery of heavy hydrogen,Harold C. Urey,male,29.4.1893,North America,USA,5.1.1981
1934,Literature,for his bold and ingenious revival of dramatic and scenic art,Luigi Pirandello,male,28.6.1867,Europe,Italy,10.12.1936
1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia,William P. Murphy,male,6.2.1892,North America,USA,9.10.1987
1935,Peace,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,Carl von Ossietzky,male,3.10.1889,Europe,Germany,4.5.1938
1935,Chemistry,in recognition of their synthesis of new radioactive elements,Frédéric Joliot,male,19.3.1900,Europe,France,14.8.1958
1935,Physiology or Medicine,for his discovery of the organizer effect in embryonic development,Hans Spemann,male,27.6.1869,Europe,Germany,12.9.1941
1935,Chemistry,in recognition of their synthesis of new radioactive elements,Irène Joliot-Curie,female,12.9.1897,Europe,France,17.3.1956
1935,Physics,for the discovery of the neutron,James Chadwick,male,20.10.1891,Europe,United Kingdom,24.7.1974
1936,Physics,for his discovery of the positron,Carl D. Anderson,male,3.9.1905,North America,USA,11.1.1991
1936,Peace,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",Carlos Saavedra Lamas,male,1.11.1878,South America,Argentina,5.5.1959
1936,Literature,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",Eugene O'Neill,male,16.10.1888,North America,USA,27.11.1953
1936,Physiology or Medicine,for their discoveries relating to chemical transmission of nerve impulses,Otto Loewi,male,3.6.1873,Europe,Germany,25.12.1961
1936,Chemistry,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,Peter Debye,male,24.3.1884,Europe,the Netherlands,2.11.1966
